PackageName,KnownBadVersion,ThreatDescription,Source
@ensdomains/name-wrapper,1.0.1,ShaiHulud,KOI
@ensdomains/offchain-resolver-contracts,0.2.2,ShaiHulud,KOI
@ensdomains/op-resolver-contracts,0.0.2,ShaiHulud,KOI
@ensdomains/react-ens-address,0.0.32,ShaiHulud,KOI
@ensdomains/renewal,0.0.13,ShaiHulud,KOI
@ensdomains/renewal-widget,0.1.10,ShaiHulud,KOI
@ensdomains/reverse-records,1.0.1,ShaiHulud,KOI
@ensdomains/server-analytics,0.0.2,ShaiHulud,KOI
@ensdomains/solsha1,0.0.4,ShaiHulud,KOI
@ensdomains/subdomain-registrar,0.2.4,ShaiHulud,KOI
@ensdomains/test-utils,1.3.1,ShaiHulud,KOI
@ensdomains/thorin,0.6.51,ShaiHulud,KOI
@ensdomains/ui,3.4.6,ShaiHulud,KOI
@ensdomains/unicode-confusables,0.1.1,ShaiHulud,KOI
@ensdomains/unruggable-gateways,0.0.3,ShaiHulud,KOI
@ensdomains/vite-plugin-i18next-loader,4.0.4,ShaiHulud,KOI
@ensdomains/web3modal,1.10.2,ShaiHulud,KOI
@everreal/react-charts,2.0.2,ShaiHulud,KOI
@everreal/validate-esmoduleinterop-imports,1.4.5,ShaiHulud,KOI
@everreal/web-analytics,0.0.2,ShaiHulud,KOI
@faq-component/core,0.0.4,ShaiHulud,KOI
@faq-component/react,1.0.1,ShaiHulud,KOI
@fishingbooker/browser-sync-plugin,1.0.5,ShaiHulud,KOI
@fishingbooker/react-loader,1.0.7,ShaiHulud,KOI
@fishingbooker/react-pagination,2.0.6,ShaiHulud,KOI
@fishingbooker/react-raty,2.0.1,ShaiHulud,KOI
@fishingbooker/react-swiper,0.1.5,ShaiHulud,KOI
@hapheus/n8n-nodes-pgp,1.5.1,ShaiHulud,KOI
@hover-design/core,0.0.1,ShaiHulud,KOI
@hover-design/react,0.2.1,ShaiHulud,KOI
@huntersofbook/auth-vue,0.4.2,ShaiHulud,KOI
@huntersofbook/core,0.5.1,ShaiHulud,KOI
@huntersofbook/core-nuxt,0.4.2,ShaiHulud,KOI
@huntersofbook/form-naiveui,0.5.1,ShaiHulud,KOI
@huntersofbook/i18n,0.8.2,ShaiHulud,KOI
@huntersofbook/ui,0.5.1,ShaiHulud,KOI
@hyperlook/telemetry-sdk,1.0.19,ShaiHulud,KOI
@ifelsedeveloper/protocol-contracts-svm-idl,0.1.2,ShaiHulud,KOI
@ifelsedeveloper/protocol-contracts-svm-idl,0.1.3,ShaiHulud,KOI
@ifings/design-system,4.9.2,ShaiHulud,KOI
@ifings/metatron3,0.1.5,ShaiHulud,KOI
@jayeshsadhwani/telemetry-sdk,1.0.14,ShaiHulud,KOI
@kvytech/cli,0.0.7,ShaiHulud,KOI
@kvytech/components,0.0.2,ShaiHulud,KOI
@kvytech/habbit-e2e-test,0.0.2,ShaiHulud,KOI
@kvytech/medusa-plugin-announcement,0.0.8,ShaiHulud,KOI
@kvytech/medusa-plugin-management,0.0.5,ShaiHulud,KOI
@kvytech/medusa-plugin-newsletter,0.0.5,ShaiHulud,KOI
@kvytech/medusa-plugin-product-reviews,0.0.9,ShaiHulud,KOI
@kvytech/medusa-plugin-promotion,0.0.2,ShaiHulud,KOI
@kvytech/web,0.0.2,ShaiHulud,KOI
@lessondesk/api-client,9.12.2,ShaiHulud,KOI
@lessondesk/api-client,9.12.3,ShaiHulud,KOI
@lessondesk/babel-preset,1.0.1,ShaiHulud,KOI
@lessondesk/electron-group-api-client,1.0.3,ShaiHulud,KOI
@lessondesk/eslint-config,1.4.2,ShaiHulud,KOI
@lessondesk/material-icons,1.0.3,ShaiHulud,KOI
@lessondesk/react-table-context,2.0.4,ShaiHulud,KOI
@lessondesk/schoolbus,5.2.2,ShaiHulud,KOI
@lessondesk/schoolbus,5.2.3,ShaiHulud,KOI
@livecms/live-edit,0.0.32,ShaiHulud,KOI
@livecms/nuxt-live-edit,1.9.2,ShaiHulud,KOI
@lokeswari-satyanarayanan/rn-zustand-expo-template,1.0.9,ShaiHulud,KOI
@louisle2/core,1.0.1,ShaiHulud,KOI
@louisle2/cortex-js,0.1.6,ShaiHulud,KOI
@lpdjs/firestore-repo-service,1.0.1,ShaiHulud,KOI
@lui-ui/lui-nuxt,0.1.1,ShaiHulud,KOI
@lui-ui/lui-tailwindcss,0.1.2,ShaiHulud,KOI
@lui-ui/lui-vue,1.0.13,ShaiHulud,KOI
